"DitchReservoirCompanyName","OWF_ID","OWF_ID_Flag","BusinessEntity_ID","BusinessEntity_ID_Flag","DARCAMember","EntityStartDate","EntityStartDate_Flag","EntityEndDate","EntityEndDate_Flag","Ditch_WDID_CSV","Ditch_WDID_CSV_Flag","Reservoir_WDID_CSV","Reservoir_WDID_CSV_Flag","Latitude","Longitude","Lat_Long_Flag","Municipality","Municipality_Flag","IBCC_Basin","IBCC_Basin_Flag","Website","Website_Flag","Comment"
Carmel Drainage Ditch Users Association,,x,19871618200,G,N,1985-04-29,G,,N,,x,,x,37.412862,-105.946928,G2,Alamosa,G,Rio Grande,G1,,x,
Carmel Reservoir Company,,x,19871136214,G,N,1957-06-17,G,,N,,x,,x,,,x,,x,,x,,x,
"Carpenter And Mitchell Ditch Company, Inc.",,x,20041375228,G,N,2004-10-26,G,,N,,x,,x,37.386214,-108.352735,G2,Mancos,G,Southwest,G1,,x,
Carson Lateral Ditch Company,,x,19871112357,G,N,1902-03-20,G,,N,,x,,x,,,x,,x,,x,,x,
Castle Ditch Company,,x,19901104059,G,N,1990-11-29,G,,N,,x,,x,39.681430,-106.842556,G2,Eagle,G,Colorado,G1,,x,
Catholic Lateral Ditch Company,,x,19871030121,G,N,1961-08-10,G,,N,,x,,x,,,x,,x,,x,,x,
C-C Ditch Company,,x,19871016011,G,N,1949-03-03,G,,N,,x,,x,,,x,,x,,x,,x,
Cedar Avenue Ditch Company,,x,19871329933,G,N,1977-07-25,G,,N,,x,,x,39.087221,-108.563811,G2,Grand Junction,G,Colorado,G1,,x,
"Cedar Canon, Iron Springs Ditch And Reservoir Comp",,x,19871079985,G,N,1924-08-18,G,,N,,x,,x,38.643607,-107.570015,G2,Crawford,G,Gunnison,G1,,x,
Cedar Hill Lateral Ditch And Pipe Line Company,,x,19871094869,G,N,1932-03-02,G,,N,,x,,x,38.862147,-107.595371,G2,Paonia,G,Gunnison,G1,,x,
Cedar Mesa Ditch Company,,x,19901078043,G,N,1990-07-31,G,,N,,x,,x,38.848841,-107.901984,G2,Eckert,G,Gunnison,G1,,x,
Cedar Mesa Reservoir Company,,x,19871027260,G,N,1898-10-13,G,,N,,x,,x,38.900829,-107.933949,G2,Cedaredge,G,Gunnison,,,x,
Celadon Ii Ditch Company,,x,20011035838,G,N,2001-02-20,G,2015-08-31,G,,x,,x,37.276285,-107.878676,G2,Durango,G,Southwest,G1,,x,
"Cement Lateral Of Prairie Ditch, Inc.",,x,19871119928,G,N,1951-04-13,G,,N,,x,,x,,,x,,x,,x,,x,
Centenial Irrigating Ditch Company,,x,19871005546,G,N,1883-03-19,G,,N,,x,,x,,,x,,x,,x,,x,
Centennial Irrigating Ditch Company,,x,20171075914,G,N,2017-01-26,G,,N,,x,,x,37.524416,-105.965716,G2,Alamosa,G,Rio Grande,G1,,x,
Cerro Ditch Company,,x,20011229777,G,N,2001-12-05,G,,N,,x,,x,37.162481,-105.376802,G2,Chama,G,Rio Grande,G1,,x,
Chace Lateral Ditch Company,,x,19871047724,G,N,1908-08-14,G,,N,,x,,x,,,x,,x,,x,,x,
Charlo Mutual Ditch Company,,x,20031310433,G,N,2003-09-29,G,,N,,x,,x,39.234027,-108.754809,G2,Loma,G,Colorado,G1,,x,
"Cheap Ditch Company, LLC",,x,20051425529,G,N,2005-11-14,G,,N,,x,,x,39.086599,-108.575667,G2,Grand Junction,G,Colorado,G1,,x,
Chenowith Lateral Ditch Company,,x,19871074071,G,N,1921-06-27,G,,N,,x,,x,,,x,,x,,x,,x,
Cherry Creek Mutual Irrigation Company,,x,19871081454,G,N,1925-04-21,G,,N,,x,,x,,,x,,x,,x,,x,
Chilcott Ditch Company,,x,19871000942,G,N,1874-02-14,G,,N,,x,,x,39.097829,-104.860681,G2,Monument,G,Arkansas,G1,,x,
Childs Ditch Company,,x,19871073908,G,N,1921-05-19,G,,N,,x,,x,,,x,,x,,x,,x,
Chilili Ditch Company,,x,19871084674,G,N,1926-12-06,G,,N,,x,,x,,,x,,x,,x,,x,
Chipperfield Lane Ditch Incorporated,,x,19971039104,G,N,1997-03-13,G,,N,,x,,x,39.489148,-107.645767,G2,Silt,G,Colorado,G1,,x,
Chivington Irrigation Company,,x,19871062491,G,N,1916-04-04,G,,N,,x,,x,,,x,,x,,x,,x,
Church Ditch Company,ChurchDC,G,19871374701,G,Y,1979-06-04,G,2005-03-25,G,,x,,x,39.909588,-104.988389,G2,Northglenn,G,Metro,G1,,x,
Cimarron Canal And Reservoir Company,,x,19871345297,G,Y,1978-04-13,G,,N,,x,,x,38.477184,-107.873757,G2,Montrose,G,Gunnison,,,x,
Citizens Animas Irrigation Company,,x,20161368767,G,N,2016-05-25,G,,N,,x,,x,37.065800,-107.883037,G2,Durango,G,Southwest,G1,,x,
City View Irrigation Company,,x,19871079493,G,N,1924-05-03,G,,N,,x,,x,,,x,,x,,x,,x,
Clark Lateral Ditch Company,,x,19871052707,G,N,1910-09-19,G,,N,,x,,x,,,x,,x,,x,,x,
"Clayton Ditch Company, Inc.",,x,20031128913,G,N,2003-04-22,G,,N,,x,,x,37.272497,-107.101199,G2,Pagosa Springs,G,Southwest,G1,,x,
Clear Lake Reservoir And Lateral Irrigation Compan,,x,19871053649,G,N,1911-02-07,G,,N,,x,,x,,,x,,x,,x,,x,
Clennon Lateral Ditch Company,ClennonLDC,G,19871051792,G,N,1910-04-16,G,,N,,x,,x,40.245829,-104.953079,G2,Platteville,G,South Platte,G1,,x,
Clinton Ditch & Reservoir Company,ClintonDRC,G,19921052130,G,N,1992-05-21,G,,N,,x,,x,39.925399,-105.115113,G2,Broomfield,G,South Platte,G1,,x,
Clover Basin Irrigation Company,CloverBasinIC,G,19871083835,G,N,1926-06-03,G,,N,,x,,x,40.146397,-105.114470,G2,Longmont,G,South Platte,G1,,x,
Clover Meadow Lateral Ditch Company,,x,20031319328,G,N,2003-10-08,G,,N,,x,,x,38.170378,-102.650547,G2,Lamar,G,Arkansas,G1,,x,
Club View Estates Irrigation Company,,x,19871168370,G,N,1963-08-21,G,,N,,x,,x,,,x,,x,,x,,x,
Coal Creek Irrigation Company,,x,19871066644,G,N,1918-02-01,G,,N,,x,,x,,,x,,x,,x,,x,
Cole Ditch Company,ColeDC,G,19871018299,G,N,1895-03-09,G,,N,,x,,x,40.393013,-104.730679,G2,Greeley,G,South Platte,G1,,x,
Cole Reservoir Company,,x,19871149881,G,N,1960-09-07,G,,N,,x,,x,38.845800,-107.978000,G2,Eckert,G,Gunnison,,,x,
Coleman Ditch And Reservoir Company,,x,19871039305,G,N,1904-09-27,G,,N,,x,,x,,,x,,x,,x,,x,
Collier Ditch Company,,x,19871024675,G,N,1897-05-20,G,,N,,x,,x,38.234005,-104.327245,G2,Boone,G,Arkansas,G1,,x,
Collier Ditch Company,,x,20071164429,G,N,2007-04-03,G,,N,,x,,x,39.089552,-108.535020,G2,Grand Junction,G,Colorado,G1,,x,
Collins Ditch Company,,x,19871930739,G,N,1900-06-18,G,,N,,x,,x,,,x,,x,,x,,x,
Colorado Agricultural Ditch Company,ColoradoAgDC,G,19871000841,G,Y,1873-06-06,G,,N,,x,,x,39.921906,-104.977299,G2,Thornton,G,Metro,G1,,x,
Colorado And Kansas Canal And Reservoir Company,,x,19871011415,G,N,1890-12-13,G,,N,,x,,x,,,x,,x,,x,,x,
Colorado Canal Company,,x,,x,Y,,x,,N,,x,,x,,,x,Ordway,G,,x,,x,
Colorado Eastern Irrigation Land And Reservoir,,x,19871010458,G,N,1890-03-10,G,,N,,x,,x,,,x,,x,,x,,x,
Colorado High Country Irrigation Company,,x,20011140246,G,N,2001-07-16,G,2004-12-31,G,,x,,x,39.829320,-107.956039,G2,Meeker,G,Yampa,G1,,x,
Colorado Water Protective and Development Association,,x,,x,Y,,x,,N,,x,,x,,,x,La Junta,G,,x,,x,
"Columbine East Irrigation Company, LLC",,x,20011235747,G,N,2001-12-13,G,,N,,x,,x,38.481001,-107.841592,G2,Montrose,G,Gunnison,G1,,x,
Columbine Lateral Ditch Company,,x,19871038546,G,N,1904-04-18,G,,N,,x,,x,,,x,,x,,x,,x,
Commonwealth Irrigation Company,,x,19871390617,G,N,1980-01-28,G,,N,,x,,x,37.468962,-105.867117,G2,Alamosa,G,Rio Grande,G1,,x,
Community Ditch And Reservoir Company,,x,19871039494,G,N,1885-06-06,G,,N,,x,,x,,,x,,x,,x,,x,
Conejos And San Rafael Ditch Company,,x,19871040534,G,N,1905-05-09,G,,N,,x,,x,,,x,,x,,x,,x,
Consolidated Christian-Connors Lateral Ditch Company,,x,20031125163,G,N,2003-04-18,G,,N,,x,,x,,,x,,x,,x,,x,
Consolidated Ditch And Headgate Company,,x,19871051686,G,N,1910-04-04,G,,N,,x,,x,,,x,,x,,x,,x,
Consolidated Ditches Company Of Water District No.,,x,19871034307,G,N,1902-03-13,G,,N,,x,,x,,,x,,x,,x,,x,
Consolidated Hillsborough Ditch Company,ConsolidatedHillsboroughDC,G,19871027361,G,N,1898-11-12,G,,N,,x,,x,40.335838,-104.913300,G2,Johnstown,G,South Platte,G1,,x,
Consolidated Home Supply Ditch,,x,,x,Y,,x,,N,,x,,x,,,x,Berthoud,G,,x,,x,
Consolidated Home Supply Ditch And Reservoir Company,ConsolidatedHomeSupplyDRC,G,19871004185,G,N,1882-09-15,G,,N,,x,,x,40.308317,-105.081092,G2,Berthoud,G,South Platte,G1,,x,
Consolidated Juchem Ditch And Reservoir Company,ConsolidatedJuchemDRC,G,19871097361,G,Y,1934-01-05,G,,N,,x,,x,39.817809,-105.054800,G2,Arvada,G,Metro,G1,,x,
Consolidated Lateral Ditch Company,,x,19871035918,G,N,1903-01-08,G,,N,,x,,x,,,x,,x,,x,,x,
Consolidated Mutual Water Company,,x,,x,Y,,x,,N,,x,,x,,,x,Lakewood,G,,x,,x,
Consolidated Reservoir II Inc.,,x,,x,Y,,x,,N,,x,,x,,,x,Aspen,G,,x,,x,
Continental Reservoir Company,,x,19871109613,G,N,1945-08-07,G,,N,,x,,x,,,x,,x,,x,,x,
Cooke Irrigation Company,CookeIC,G,19871040014,G,N,1905-02-15,G,,N,,x,,x,40.482582,-104.698750,G2,Lucerne,G,South Platte,G1,,x,
Coon Creek Reservoir And Ditch Company,,x,19871078878,G,N,1924-01-29,G,,N,,x,,x,39.086051,-108.588949,G2,Grand Junction,G,Colorado,G1,,x,
Costilla Ditch Company,,x,19871007345,G,N,1916-04-18,G,,N,,x,,x,,,x,,x,,x,,x,
Cottage Place Lateral Ditch Company,,x,19871062528,G,N,1916-04-18,G,,N,,x,,x,,,x,,x,,x,,x,
Cottonwood Ditch Company,,x,19871000646,G,N,1870-11-01,G,,N,,x,,x,,,x,,x,,x,,x,
Cottonwood Lakes Reservoir Company,,x,19871018079,G,N,1895-02-02,G,,N,,x,,x,,,x,,x,,x,,x,
Crater Reservoir Company,,x,19871067605,G,N,1918-06-14,G,,N,,x,,x,,,x,,x,,x,,x,
Crawford Clipper Ditch Company,,x,19871007116,G,N,1885-11-23,G,,N,,x,,x,38.722817,-107.650932,G2,Crawford,G,Gunnison,G1,,x,
Crawford Lateral Ditch Company,,x,19871080162,G,N,1924-09-17,G,,N,,x,,x,,,x,,x,,x,,x,
Crowley Lateral Ditch Company,,x,19871028727,G,N,1899-08-18,G,,N,,x,,x,,,x,,x,,x,,x,
"Crystal Creek Ditch Company, Inc.",,x,19931113471,G,N,1993-10-12,G,,N,,x,,x,37.379641,-108.271002,G2,Mancos,G,Southwest,G1,,x,
"Crystal Spring, Ditch And Pipeline Corp.",,x,19671195797,G,N,1967-08-31,G,,N,,x,,x,39.562650,-107.345139,G2,Glenwood Springs,G,Colorado,G1,,x,
Cuchara River Ditch Company,,x,20051067747,G,N,2005-02-24,G,,N,,x,,x,37.428290,-105.045951,G2,La Veta,G,Arkansas,G1,,x,
Culver Irrigation Company,CulverIC,G,19871049720,G,N,1909-06-16,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
Culver Lateral Ditch Company,CulverLDC,G,19871072841,G,N,1920-11-12,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
Currant Creek Ditch And Reservoir Company,,x,19871041102,G,N,1905-09-14,G,,N,,x,,x,,,x,,x,,x,,x,
D Road Mutual Irrigation Company,,x,19971011469,G,Y,1997-01-24,G,,N,,x,,x,39.055098,-108.537880,G2,Grand Junction,G,Colorado,G1,,x,
Daisy Ditch Company,,x,19871153954,G,N,1961-05-10,G,,N,,x,,x,,,x,,x,,x,,x,
Dallas Ditch Company,,x,19871133065,G,N,1956-07-11,G,,N,,x,,x,38.156521,-107.783129,G2,Ridgway,G,Gunnison,G1,,x,
Darlington Ditch Company,,x,19871018124,G,N,1950-05-02,G,,N,,x,,x,,,x,,x,,x,,x,
Darnell Lateral Ditch Company,DarnellLDC,G,20111021920,G,N,2011-01-12,G,,N,,x,,x,40.493100,-104.881834,G2,Windsor,G,South Platte,G1,,x,
Dave Miller Ditch Company,,x,,x,Y,,x,,N,,x,,x,,,x,Lyons,G,,x,,x,
Dave Miller Mutual Ditch Company,DaveMillerMutualDC,G,19871331264,G,N,1977-08-18,G,,N,,x,,x,40.244971,-105.289931,G2,Lyons,G,South Platte,G1,,x,
Davidson Ditch & Reservoir Company,DavidsonDRC,G,19871070153,G,N,1919-09-17,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
Davidson Ditch Company,,x,19871001177,G,N,1875-08-10,G,,N,,x,,x,,,x,,x,,x,,x,
Davidson High Line Lateral Ditch Company,DavidsonHighLineLDC,G,19871018289,G,N,1895-03-08,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
Davis Brothers Ditch Company,,x,19871019236,G,N,1895-10-28,G,,N,,x,,x,,,x,,x,,x,,x,
Davis Ditch LLC,,x,20151074720,G,N,2015-01-30,G,2016-05-12,G,,x,,x,37.497913,-108.705810,G2,Lewis,G,Southwest,G1,,x,
"Davis Ditching, Inc.",,x,19951107057,G,N,1995-08-28,G,2002-06-01,G,,x,,x,,,x,,x,,x,,x,
Davy Ditch And Reservoir Company,,x,19871067265,G,N,1918-04-20,G,,N,,x,,x,,,x,,x,,x,,x,
De Weese-Dye Ditch And Reservoir Company,,x,19871019508,G,N,1895-12-03,G,,N,,x,,x,38.420173,-105.199185,G2,Canyon City,G,Arkansas,G1,,x,
Deep Creek Reservoir Company,,x,19871001089,G,N,1909-03-15,G,,N,,x,,x,,,x,,x,,x,,x,
"Deep Cut Irrigating Ditch, Inc.",,x,19871132059,G,N,1956-04-02,G,,N,,x,,x,,,x,,x,,x,,x,
"Deer Foot Land, Stock And Ditch Company",,x,19871009646,G,N,1889-06-15,G,,N,,x,,x,,,x,,x,,x,,x,
Deer Trail Ditch Company,DeerTrailDC,G,19871118077,G,N,1950-04-24,G,,N,,x,,x,39.747956,-104.989046,G2,Denver,G,Metro,G1,,x,
Defranco Ditch Co.,,x,20041354512,G,N,2004-10-12,G,,N,,x,,x,39.164238,-108.685402,G2,Fruita,G,Colorado,G1,,x,
Del Rio Irrigating Ditch Company,,x,19871963823,G,N,1916-12-16,G,,N,,x,,x,,,x,,x,,x,,x,
Delta Canal Company,,x,19871010147,G,N,1889-12-26,G,,N,,x,,x,,,x,,x,,x,,x,
Delta Chief Ditch Company,,x,19871006517,G,N,1884-08-23,G,,N,,x,,x,,,x,,x,,x,,x,
Delta Irrigation Company,DeltaIC,G,19871012242,G,N,1891-06-27,G,,N,,x,,x,40.398730,-104.639515,G2,Greeley,G,South Platte,G1,,x,
"Demmel Lake Estates Homeowners Irrigation Association, LLC",DemmelLakeEstatesHomeownersIA,G,20151674894,G,N,2015-10-22,G,,N,,x,,x,40.708380,-105.038512,G2,Wellington,G,South Platte,G1,,x,
Denio & Taylor Mill Ditch Company,DenioTaylorMillDC,G,19871071481,G,N,1920-03-18,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
Denver-View Reservoir And Irrigation Company,,x,19871032502,G,N,1901-04-22,G,,N,,x,,x,,,x,,x,,x,,x,
Desert Land Reservoir & Canal Company,,x,19871046726,G,N,1908-03-13,G,,N,,x,,x,,,x,,x,,x,,x,
Desert Reservoir Company,DesertRC,G,19871090477,G,N,1929-08-30,G,,N,,x,,x,40.017567,-105.277373,G2,Boulder,G,South Platte,,,x,
DeWeese-Dye Ditch and Reservoir Company,,x,,x,Y,,x,,N,,x,,x,,,x,Canon City,G,,x,,x,
Dirty Ditch Farm LLC,,x,20151150298,G,N,2015-02-28,G,,N,,x,,x,38.575091,-106.036859,G2,Salida,G,Arkansas,G1,,x,
District 64 Reservoir Company,Distric64RC,G,20061477924,G,N,2006-11-22,G,,N,,x,,x,40.633146,-103.200973,G2,Sterling,G,South Platte,,,x,
Ditch On 40 LLC,,x,20131197593,G,N,2013-03-27,G,,N,,x,,x,39.917818,-105.784704,G2,Winter Park,G,Colorado,G1,,x,
Divide Canal And Reservoir Company,DivideCRC,G,19871038175,G,N,1904-02-16,G,,N,,x,,x,40.526291,-104.712969,G2,Eaton,G,South Platte,,,x,
Divide Creek High Line Ditch Company,,x,19871031226,G,N,1900-09-17,G,,N,,x,,x,,,x,,x,,x,,x,
Divide Drainage And Irrigation Company,,x,19871009832,G,N,1889-08-30,G,,N,,x,,x,,,x,,x,,x,,x,
Divide Lateral Ditch Company,,x,19871081939,G,N,1925-07-13,G,,N,,x,,x,,,x,,x,,x,,x,
Divide South Water Users Association And Ditch Company,DivideSouthWUADC,G,19871257741,G,N,1973-05-15,G,,N,,x,,x,38.909609,-105.154352,G2,Divide,G,Metro,G1,,x,
Dixon Canon Ditch And Reservoir Company,DixonCanonDRC,G,19871579574,G,N,1984-07-12,G,,N,,x,,x,40.582935,-105.106730,G2,Fort Collins,G,South Platte,G1,,x,
Dog Fish Lake Reservoir Company,,x,19871036116,G,N,1903-02-04,G,,N,,x,,x,,,x,,x,,x,,x,
Dominquez Reservoir Company LLC,DominquezRC,G,19961141567,G,N,1996-10-30,G,2003-04-17,G,,x,,x,39.658494,-104.870367,G2,Denver,G,Metro,,,x,
Don Quixote Ditch Company,,x,19871020633,G,N,1924-12-17,G,,N,,x,,x,,,x,,x,,x,,x,
Dry Creek Lateral Ditch Company,,x,19871003008,G,N,1880-10-01,G,,N,,x,,x,40.304108,-105.146758,G2,Berthoud,G,South Platte,G1,,x,
Dry Creek Lateral Ditch Company,,x,20021302173,G,N,2002-10-30,G,2007-12-24,G,,x,,x,40.304108,-105.146758,G2,Berthoud,G,South Platte,G1,,x,
Dry Creek No. 2. Ditch Company,DryCrkNo2DC,G,19871017472,G,N,1894-09-08,G,,N,,x,,x,39.959845,-105.119544,G2,Louisville,G,South Platte,G1,,x,
Dry Creek Valley Ditch Company,,x,19871008907,G,N,1885-05-29,G,,N,,x,,x,,,x,,x,,x,,x,
Dry Creek-Davidson Ditch Company,DryCrkDavidsonDC,G,19871184098,G,N,1965-12-28,G,,N,,x,,x,39.977763,-105.131930,G2,Louisville,G,South Platte,G1,,x,
Duke Ditch Company,,x,19871071560,G,N,1920-03-29,G,,N,,x,,x,38.799707,-107.719503,G3,Hotchkiss,G,Gunnison,G1,,x,
Dulton Extension Ditch And Reservoir Company,,x,19871064379,G,N,1917-03-13,G,,N,,x,,x,,,x,,x,,x,,x,
Durkee Ditch Company,,x,19871034933,G,N,1902-07-03,G,,N,,x,,x,,,x,,x,,x,,x,
Duroux Ditch Company,,x,19901069419,G,N,1990-06-21,G,,N,,x,,x,39.545969,-107.325551,G2,Glenwood Springs,G,Colorado,G1,,x,
Dyer Fork Ditch Company,,x,19871973198,G,N,1921-01-19,G,,N,,x,,x,,,x,,x,,x,,x,
Eagle Ditch & Reservoir Company,,x,19871048117,G,N,1908-10-29,G,,N,,x,,x,,,x,,x,,x,,x,
Eagle Ditch Company,,x,19871001450,G,N,1877-04-18,G,,N,,x,,x,,,x,,x,,x,,x,
Eagle Park Reservoir Company,,x,19981086031,G,N,1998-05-08,G,,N,,x,,x,39.504829,-106.052253,G2,Breckenridge,G,Colorado,,,x,
Eagle Reservoirs Water Company LLC,EagleReservoirsWC,G,19981190759,G,N,1998-10-26,G,2005-06-30,G,,x,,x,39.812092,-105.003416,G2,Denver,G,Metro,,,x,
"Eaklor Ditch, Co.",EaklorDC,G,20171126962,G,N,2017-04-30,G,,N,,x,,x,39.589607,-104.952675,G2,Centennial,G,Metro,G1,,x,
"Earl Adams Ditch Co., Inc.",,x,19871759004,G,N,1987-11-09,G,1996-09-01,G,,x,,x,37.265264,-106.991681,G2,Pagosa Springs,G,Southwest,G1,,x,
East Boulder Ditch Company,EastBoulderDC,G,19871000125,G,Y,1865-06-30,G,,N,,x,,x,39.751282,-104.994437,G2,Denver,G,Metro,G1,,x,
East Ditch Company,,x,19871128228,G,N,1955-03-04,G,,N,,x,,x,,,x,,x,,x,,x,
East Excelsior Irrigation Company,,x,20031240849,G,N,2003-07-28,G,,N,,x,,x,38.266599,-104.399880,G2,Pueblo,G,Arkansas,G1,,x,
East Fork Mutual Irrigation Company,,x,19871330713,G,N,1977-08-08,G,,N,,x,,x,40.171037,-106.301452,G2,Kremmling,G,Colorado,G1,,x,
East Fruita Lateral Ditch Company,,x,19871079408,G,N,1924-04-23,G,,N,,x,,x,,,x,,x,,x,,x,
East Huff Ditch Lca,,x,20131014900,G,N,2013-01-07,G,,N,,x,,x,38.737200,-108.043000,G2,Delta,G,Gunnison,G1,,x,
East Lateral Ditch Company,,x,19871082932,G,N,1926-01-11,G,,N,,x,,x,,,x,,x,,x,,x,
East Mancos Highline Ditch Company,,x,20041017890,G,N,2004-01-15,G,,N,,x,,x,37.340317,-108.267896,G2,Mancos,G,Southwest,G1,,x,
East Marble Extension Of The Clarence Ditch Company,EastMarbleExtensionClarenceDC,G,19871464315,G,N,1982-02-08,G,,N,,x,,x,39.250089,-104.971990,G2,Larkspur,G,Metro,G1,,x,
East Mesa Ditch Company,,x,19871045087,G,N,1907-06-13,G,,N,,x,,x,,,x,,x,,x,,x,
East Otto Ditch Company,,x,19871163328,G,N,1962-10-24,G,,N,,x,,x,,,x,,x,,x,,x,
East Side Lateral Ditch Company,,x,19871046306,G,N,1908-01-18,G,,N,,x,,x,,,x,,x,,x,,x,
East Twin Lakes Ditches And Water Works,,x,19991010001,G,N,1999-01-19,G,,N,,x,,x,39.077204,-106.289536,G2,Twin Lakes,G,Arkansas,G1,,x,
Eastbury Subdivision Irrigation Company,,x,19871332662,G,N,1977-09-15,G,,N,,x,,x,39.085852,-108.498228,G2,Grand Junction,G,Colorado,G1,,x,
Eastdale Mutual Ditch And Reservoir Company,,x,19871150173,G,Y,1960-09-27,G,,N,,x,,x,,,x,,x,,x,,x,
Eaton-Law Reservoir Company,EatonLawRC,G,19871395316,G,N,1980-03-17,G,,N,,x,,x,40.523564,-104.862083,G2,Windsor,G,South Platte,,,x,
Eby Creek - Eagle River Ditch Company,,x,20031057087,G,N,2003-02-20,G,,N,,x,,x,39.655036,-106.850944,G2,Eagle,G,Colorado,G1,,x,
Echo Ditch Company,,x,19871234101,G,N,1971-09-21,G,,N,,x,,x,37.198890,-106.961114,G2,Pagosa Springs,G,Southwest,G1,,x,
Eisele Lateral Ditch Company,EiseleLDC,G,19871199028,G,N,1968-03-11,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
El Coda Ditch Company,,x,19871099094,G,N,1935-03-23,G,,N,,x,,x,,,x,,x,,x,,x,
Elk Creek Ditch Company,,x,19961163859,G,N,1996-12-17,G,,N,,x,,x,39.165644,-107.247337,G2,Redstone,G,Colorado,G1,,x,
"Elk Creek Ditch No. 2, LLC",,x,20171570745,G,N,2017-07-26,G,,N,,x,,x,39.249549,-106.868704,G2,Snowmass,G,Colorado,G1,,x,
Elk Ridge Estates Irrigation Company,,x,20091281885,G,N,2009-05-22,G,,N,,x,,x,38.526436,-107.721149,G2,Montrose,G,Gunnison,G1,,x,
Ellington Ditch Company,,x,19871063609,G,N,1916-11-03,G,,N,,x,,x,,,x,,x,,x,,x,
"Elliott Creek Irrigation Company, LLC",,x,19981053026,G,N,1998-03-20,G,,N,,x,,x,40.046941,-106.331245,G2,Kremmling,G,Colorado,G1,,x,
Elm Avenue Lateral Ditch Company,,x,19871112904,G,N,1947-06-24,G,,N,,x,,x,,,x,,x,,x,,x,
Elmwood Lateral Ditch Company,,x,19871165725,G,N,1963-04-01,G,,N,,x,,x,,,x,,x,,x,,x,
Elsie Lateral Ditch Company,,x,19871086129,G,N,1927-08-09,G,,N,,x,,x,,,x,,x,,x,,x,
Em Reservoir LLC,EmRes,G,20031286542,G,N,2003-09-05,G,2004-12-23,G,,x,,x,39.650096,-104.882182,G2,Denver,G,Metro,,,x,
Emigh Lateral Ditch Company,EmighLDC,G,19871073860,G,N,1921-05-07,G,,N,,x,,x,40.586038,-105.081107,G2,Fort Collins,G,South Platte,G1,,x,
Encanto Ditch Company,,x,19901048265,G,N,1990-05-14,G,,N,,x,,x,39.161201,-108.722318,G2,Fruita,G,Colorado,G1,,x,
Enlarged Southside Irrigation Ditch Company,,x,19871078742,G,N,1924-01-07,G,,N,,x,,x,37.183366,-104.487337,G2,Trinidad,G,Arkansas,G1,,x,
Enterprise Ditch Company,,x,19871165271,G,N,1963-03-05,G,,N,,x,,x,,,x,,x,,x,,x,
Enterprise Irrigating Ditch Company,EnterpriseIDC,G,19871075417,G,Y,1898-12-20,G,,N,,x,,x,39.751282,-104.994437,G2,Denver,G,Metro,G1,,x,
Ephraim Ditch Company,,x,19871005487,G,N,1883-02-27,G,,N,,x,,x,,,x,,x,,x,,x,
Erie Coal Creek Ditch & Reservoir Company,ErieCoalCrkDRC,G,19871016745,G,Y,1894-03-06,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
Erkenbeck Lateral Ditch Company,ErkenbeckLDC,G,19871053858,G,N,1911-03-09,G,,N,,x,,x,40.248118,-104.912298,G2,Platteville,G,South Platte,G1,,x,
Evergreen Heights Ditch & Reservoir Company,,x,19871075586,G,N,1922-04-29,G,,N,,x,,x,39.111535,-108.560197,G2,Grand Junction,G,Colorado,G1,,x,
Evett Lateral Ditch Company,,x,19871058250,G,N,1913-06-12,G,,N,,x,,x,,,x,,x,,x,,x,
Excelsior Ditch Company,,x,19871035844,G,N,1902-12-30,G,,N,,x,,x,37.579885,-106.147714,G2,Monte Vista,G,Rio Grande,G1,,x,
Excelsior Irrigating Company,,x,19871063071,G,N,1916-07-17,G,,N,,x,,x,,,x,,x,,x,,x,
Excelsior Irrigation Company,,x,19871001095,G,N,1875-02-15,G,,N,,x,,x,,,x,,x,,x,,x,
Extension Irrigation Company,ExtensionIC,G,19871060888,G,N,1915-04-03,G,,N,,x,,x,40.335838,-104.913300,G2,Johnstown,G,South Platte,G1,,x,
F.H.M.Q. Ditch Company,,x,19871109956,G,N,1945-12-03,G,,N,,x,,x,,,x,,x,,x,,x,
Fairport Reservoir And Ditch Company,,x,19871038411,G,N,1904-03-26,G,,N,,x,,x,,,x,,x,,x,,x,
Farmers 110 Lateral Ditch Company,,x,19871108860,G,N,1944-10-16,G,,N,,x,,x,,,x,,x,,x,,x,
Farmer's Ditch Company,FarmersDC,G,19871002667,G,N,1872-08-10,G,,N,,x,,x,40.155136,-105.104968,G2,Longmont,G,South Platte,G1,,x,
Farmers Extension Ditch Company,FarmersExtensionDC,G,19871009381,G,N,1889-03-13,G,,N,,x,,x,40.336927,-104.912197,G2,Johnstown,G,South Platte,G1,,x,
Farmers High Line Canal And Reservoir Company,FarmersHighLineCRC,G,19871007142,G,Y,1885-12-12,G,,N,,x,,x,39.858881,-105.090928,G2,Westminster,G,Metro,,,x,
